target_domain,ip_address,provider,organization,data_center_location,lat,lon,university_name,campus_lat,campus_lon
solent.ac.uk,194.66.93.210,Jisc Services Limited,Solent University,"Southampton, United Kingdom",50.9142,-1.388,Southampton Solent University,50.9085254,-1.3996257
sothebysinstitutelondon.com,205.178.189.129,"Network Solutions, LLC","Network Solutions, LLC","Jacksonville, United States",30.2493,-81.5268,Sotheby´s Institute of Art - London,51.5186539,-0.1312019
staffs.ac.uk,185.18.139.26,Zengenti Ltd.,,"Ludlow, United Kingdom",52.4177,-2.63996,Staffordshire University,53.0094747,-2.1742692
st-andrews.ac.uk,138.251.7.84,Jisc Services Limited,The University of St. Andrews,"St Andrews, United Kingdom",56.3387,-2.799,University of St. Andrews,56.3398554,-2.8117775
stir.ac.uk,172.166.94.221,Microsoft,Microsoft Azure Cloud (uksouth),"City of London, United Kingdom",51.5113,-0.079212,University of Stirling,56.1451154,-3.9173938
st-patricks.ac.uk,65.9.46.53,"Amazon.com, Inc.",AWS CloudFront (GLOBAL),"Stockholm, Sweden",59.3293,18.0686,"St.Patrick's International College, London",,
sunderland.ac.uk,75.2.73.151,"Amazon.com, Inc.",AWS Global Accelerator (GLOBAL),"Seattle, United States",47.4815,-122.246,University of Sunderland,54.9043869,-1.3917923
surrey.ac.uk,131.227.132.127,University of Surrey,"IT Services, University of Surrey","Guildford, United Kingdom",51.2519,-0.5933,University of Surrey,51.2430782,-0.5900545
sussex.ac.uk,139.184.14.208,Computing Service,,"Brighton, United Kingdom",50.8545,-0.1502,University of Sussex,50.8674377,-0.0877259
swan.ac.uk,137.44.60.147,Swansea University,,"Swansea, United Kingdom",51.6131,-4.0441,"University of Wales, Swansea",51.6091649,-3.9793675
tees.ac.uk,152.105.184.103,University of Teesside,,"Middlesbrough, United Kingdom",54.5744,-1.2317,University of Teesside,,
tvu.ac.uk,193.63.23.29,Jisc Services Limited,The University of West London,"Ealing, United Kingdom",51.5096,-0.2942,Thames Valley University,,
ucl.ac.uk,144.82.250.24,The Bloomsbury Computing Consortium,"Information Systems, University","Camden, United Kingdom",51.5415,-0.1445,"University College London, University of London",51.5242031,-0.1330007
uclan.ac.uk,64.239.109.1,"Amazon.com, Inc.","Vercel, Inc","Walnut, United States",34.0119,-117.86,University of Central Lancashire,53.7643905,-2.7086535
ucs.ac.uk,195.195.221.31,Jisc Services Limited,University Campus Suffolk Ltd,"Haverfordwest, United Kingdom",51.7994,-4.9658,University Campus Suffolk,52.1394051,1.2159754
uea.ac.uk,76.223.53.114,"Amazon.com, Inc.",AWS Global Accelerator (GLOBAL),"Seattle, United States",47.4815,-122.246,University of East Anglia,52.6210623,1.2356187
uel.ac.uk,99.80.13.5,"Amazon.com, Inc.",AWS EC2 (eu-west-1),"Dublin, Ireland",53.3498,-6.26031,University of East London,51.5073682,0.0656624
ukc.ac.uk,129.12.10.250,University of Kent at Canterbury,University of Kent,"Canterbury, United Kingdom",51.279,1.0763,University of Kent at Canterbury,,
umds.ac.uk,137.73.130.135,Jisc Services Limited,King's College London,"London, United Kingdom",51.5115,-0.115997,"United Medical and Dental Schools, University of London",,
northumbria.ac.uk,13.74.188.238,Microsoft Corporation,Microsoft Azure Cloud (northeurope),"Dublin, Ireland",53.3478,-6.2597,Northumbria University,54.9787691,-1.6096401
uwe.ac.uk,164.11.4.40,University of the West of England,"SWERN Network Manager, University of the West of England","Bristol, United Kingdom",51.4534,-2.5077,"University of the West of England, Bristol",51.5007679,-2.5503106
uwic.ac.uk,193.62.97.167,Jisc Services Limited,Cardiff Metropolitan University,"Norwich, United Kingdom",52.6259,1.3032,"University of Wales Institute, Cardiff",51.49609,-3.2128353
wales.ac.uk,52.211.85.12,"Amazon.com, Inc.",AWS EC2 (eu-west-1),"Dublin, Ireland",53.3498,-6.26031,University of Wales,52.1131223,-4.0751593
warnborough.edu,188.114.97.1,"Cloudflare, Inc.","CloudFlare, Inc.","Toronto, Canada",43.6532,-79.3832,Warnborough University,,
warwick.ac.uk,137.205.28.41,Warwick University,"Information Technology Services, University of Warwick","Coventry, United Kingdom",52.382,-1.5874,University of Warwick,52.3813073,-1.5639569
westminster.ac.uk,54.217.246.39,"Amazon.com, Inc.",AWS EC2 (eu-west-1),"Dublin, Ireland",53.3498,-6.26031,University of Westminster,51.5209064,-0.140073
wlv.ac.uk,3.33.145.238,"Amazon.com, Inc.",AWS Global Accelerator (GLOBAL),"Montreal, Canada",45.5019,-73.5674,University of Wolverhampton,52.5901648,-2.1277808
worc.ac.uk,185.18.139.18,Zengenti Ltd.,,"Ludlow, United Kingdom",52.4177,-2.63996,University of Worcester,52.195587,-2.2261464
york.ac.uk,144.32.128.115,University of York,"IT Services, University of York","York, United Kingdom",53.9573,-1.0837,University of York,53.9453903,-1.0314593
stmarys.ac.uk,185.18.139.29,Zengenti Ltd.,,"Ludlow, United Kingdom",52.4177,-2.63996,St Mary's University,51.4370679,-0.3360952
leedstrinity.ac.uk,166.117.125.152,"Amazon.com, Inc.",AWS Global Accelerator (GLOBAL),"Seattle, United States",47.4815,-122.246,Leeds Trinity University,53.8481537,-1.6450165
eastcoast.ac.uk,151.101.2.159,"Fastly, Inc.","Fastly, Inc.","Montreal, Canada",45.5019,-73.5674,East Coast College,52.5975786,1.7220073
swansea.ac.uk,137.44.60.150,Swansea University,,"Swansea, United Kingdom",51.6131,-4.0441,Swansea University,51.6080596,-3.9773969
yorksj.ac.uk,193.61.228.134,Jisc Services Limited,University College of Ripon and York St John,"York, United Kingdom",53.9649,-1.0801,York St. John University,53.982244,-1.0763834
cavc.ac.uk,52.142.190.205,Microsoft Corporation,Microsoft Azure Cloud (ukwest),"Cardiff, United Kingdom",51.481785,-3.178065,Cardiff and Vale College,51.4713121,-3.1745123
wakefield.ac.uk,103.77.224.73,Mathew Heard/Trading as X4B,X4B,"Los Angeles, United States",34.0549,-118.243,Wakefield College,53.6855333,-1.5041362
lis.ac.uk,198.202.211.1,"Cloudflare London, LLC","Webflow, Inc","San Francisco, United States",37.7708,-122.413,London Interdisciplinary School,,
hult.edu,35.169.147.105,"Amazon.com, Inc.",AWS EC2 (us-east-1),"Ashburn, United States",39.0438,-77.4874,HULT Business School,51.5152724,-0.0676754
bath.edu,138.38.0.49,Bath University,University of Bath,"Bath, United Kingdom",51.3735,-2.3594,University of Bath,51.3766938,-2.3234206
bath.edu,138.38.0.49,Bath University,University of Bath,"Bath, United Kingdom",51.3735,-2.3594,University of Bath,51.3766938,-2.3234206
ulster.ac.uk,2.58.104.10,Squiz Pty Ltd,Squiz Cdn1,"Sydney, Australia",-33.8688,151.209,Ulster University,54.6038201,-5.9288914
uplearnbusinessschool.com,185.53.179.128,Team Internet AG,TEAM-INTERNET,"Munich, Germany",48.1446,11.5895,Up Learn Business School,,
ncl-coll.ac.uk,20.49.208.219,Microsoft Corporation,Microsoft Azure Cloud (uksouth),"City of London, United Kingdom",51.5113,-0.079212,Newcastle College,54.9764443,-1.6870947
btc.ac.uk,34.240.187.24,Amazon Technologies Inc.,AWS EC2 (eu-west-1),"Dublin, Ireland",53.3498,-6.26031,Bridgwater & Taunton College,51.1523792,-3.0663434
runshaw.ac.uk,141.193.213.10,"Cloudflare London, LLC","WPEngine, Inc.","Austin, United States",30.2681,-97.7462,Runshaw College,53.6810821,-2.6890864
wsc.ac.uk,103.77.224.16,Mathew Heard/Trading as X4B,X4B,"Los Angeles, United States",34.0549,-118.243,West Suffolk College,52.249226,0.6995268
college.harlaxton.co.uk,76.76.21.21,"Amazon.com, Inc.","Vercel, Inc","Walnut, United States",34.0233,-117.8512,Harlaxton College,52.8799474,-0.6710455
newcollege.ac.uk,212.219.8.122,Jisc Services Limited,New College Swindon,"Southampton, United Kingdom",50.9005,-1.3854,New College Swindon,51.568358,-1.7870181
cumbria.ac.uk,52.223.55.188,"Amazon.com, Inc.",AWS Global Accelerator (GLOBAL),"Montreal, Canada",45.5019,-73.5674,University of Cumbria,54.8908157,-2.9223991
sruc.ac.uk,162.159.140.127,"Cloudflare, Inc.","Cloudflare, Inc.","Toronto, Canada",43.6532,-79.3832,Scotland's Rural College (SRUC),,
citystgeorges.ac.uk,43.245.41.211,Squiz Pty Ltd,Squiz hosting,"Sydney, Australia",-33.8718,151.205,"City St George's, University of London",,
sgul.ac.uk,185.18.139.168,Zengenti Ltd.,,"Ludlow, United Kingdom",52.4177,-2.63996,"City St George's, University of London (School of Health and Medical Sciences)",,
trinitycollegebristol.ac.uk,35.214.77.148,Google LLC,Google Cloud (europe-west2),"London, United Kingdom",51.5123,-0.0909,Trinity College Bristol,51.4767404,-2.6294812
